"adal_nr","adalvatnsfall","ar","vatnsfall","landsvaedi","landsvaedi_id","vatnsfall_id","mp","p_endur","stofn","logN","n_0","n_1","fjoldi_0","fjoldi_1","stofn_tmp_0","stofn_tmp_1","last10","M10","hraMedal10","logMedal10","expMedal10","M","hraMedal","logMedal","expMedal","N_ar"
515,"Fjarðarhornsá",1985,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,2,0.6931471805599453,1,NA,1,NA,2,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1987,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,24,3.1780538303479458,12,NA,12,NA,24,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1988,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,32,3.4657359027997265,16,NA,16,NA,32,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1989,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,8,2.0794415416798357,4,NA,4,NA,8,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1990,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,16,2.772588722239781,8,NA,8,NA,16,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1991,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,66,4.189654742026425,33,NA,33,NA,66,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1992,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,48,3.871201010907891,24,NA,24,NA,48,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1993,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,24,3.1780538303479458,12,NA,12,NA,24,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1994,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,8,2.0794415416798357,4,NA,4,NA,8,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1995,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,4,1.3862943611198906,2,NA,2,NA,4,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1996,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,4,1.3862943611198906,2,NA,2,NA,4,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1997,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,4,1.3862943611198906,2,NA,2,NA,4,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",2000,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,4,1.3862943611198906,2,NA,2,NA,4,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",2001,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,2,0.6931471805599453,1,NA,1,NA,2,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",2002,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,35.5,3.56953269648137,17,1,17,0.75,34,1.5,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",2003,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,64.5,4.1666652238017265,30,3,30,2.25,60,4.5,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",2004,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,36,3.58351893845611,18,NA,18,NA,36,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",2005,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,148,4.997212273764115,74,NA,74,NA,148,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",2006,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,230,5.438079308923196,115,NA,115,NA,230,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
