"adal_nr","adalvatnsfall","vatnsfall","landsvaedi","landsvaedi_id","vatnsfall_id","M","hraMedal","logMedal","expMedal","M10","hraMedal10","logMedal10","expMedal10","N_ar","nafn","V","N","fjarlægð","Meðalfjöldi","fjoldi.flokk","ATH"
1593,"Laxá á Refasveit","Laxá á Refasveit 1 Laxá í Refasveit","Norðurland vestra",4,"499",1153.7169811320755,381.80179707737045,5.728691748200788,307.5666304612703,1153.7169811320755,768.0115526402385,6.623213647874554,752.3590332721534,45,"Laxá á Refasveit",-20.2625811861789,65.7254858982825,458,472,10,
1599,"Laxá á Ásum","Fremri Laxá  Aðalsvæði Laxá á Ásum Aðalsvæði Laxá á Ásum Ósasvæði Laxá á Ásum Laxá á Ásum,","Norðurland vestra",4,"739 1081",3932,1978.5914888310203,7.476811031780083,1766.598158265786,3383.4182389937105,2044.3074441551003,7.575847054330402,1950.5117525462956,50,"Laxá á Ásum",-20.3357643105902,65.614369,450,1387,15,
1600,"Laxá í Dölum","Laxá í Dölum Laxá í Dölum Allt svæðið","Vesturland",2,"519",4872,2106.1645404542764,7.533158438813763,1868.9993110086039,3791.8849618936415,2412.2897941805263,7.6795525806431,2163.6514956901265,48,"Laxá í Dölum",-21.77232,65.09869,,2241,15,
1601,"Laxá í Hvammssveit","Laxá í Hvammssveit Laxá í Hvammssveit Laxár í Hvammsveit","Vesturland",2,"385",296.37935646004064,116.64814330988955,4.65819781968316,105.44587833092365,296.37935646004064,159.71850158461336,5.012501631399564,150.28021199921318,35,"Laxá í Hvammssveit",-21.7794529784044,65.2062326216077,-265,104,5,
1615,"Leirvogsá","Leirvogsá Leirvogsá Allt svæðið Leirvogsá Vorveiði Leirvogsá","Reykjanes",1,"521",2377.5,971.5143692449608,6.789099989538781,888.1138902362491,1542.32318510888,889.5718462248036,6.669257764400285,787.8106462935855,50,"Leirvogsá",-21.71058002,64.18258,-553,1115,15,
1717,"Miðá","Miðá Allt svæðið Miðá og Tunguá","Vesturland",2,"423",1397.5567247285985,407.9206522089913,5.733061848634537,308.9136687289289,1397.5567247285985,711.9111958240577,6.508051798264676,670.5188383261782,49,"Miðá og Tunguá",-21.7671220468492,65.024187042564,-281,507,10,
1733,"Miðfjarðará","Austurá Miðfjarðará Núpsá Vesturá Miðfjarðará Allt svæðið Miðfjarðará Lax- og silungasvæði","Norðurland vestra",4,"1339 1746 1747 1748",10575.738993710693,3344.078988785558,7.962827152138618,2872.1815792391235,10575.738993710693,5540.54494392779,8.54897385391348,5161.455301643989,50,"Miðfjarðará",-20.9095441784382,65.3458294679127,410,4185,15,
1734,"Miðfjarðará","Miðfjarðará Allt svæðið Miðfjarðará í Bakkafirði","Austfirðir",6,"459",648.5,302.63901991593855,5.574468849008253,263.60950199699704,462.5,270.2311975880988,5.519377255907142,249.47962684037455,49,"Miðjarðará við Bakkafj.",-15.0974429503912,66.0422430792035,950,409,10,
1885,"Ormarsá","Ormarsá Ormarsá Ormarsá","Norðurland eystra",5,"439",1351.5,443.9678963295145,5.955302608371365,385.7936374001849,1351.5,565.1926920146211,6.155776209356672,471.4326308974015,49,"Ormarsá",-15.904984401712,66.4074995970125,825,648,10,
1898,"Ósá","Setbergsá - Skógarströnd Allt  Stóra Langadalsá Skógarströnd Stóra Langadalsá Setbergsá Stóra-Langadalsá","Vesturland",2,"522 1881",592,164.32176377073327,4.625775655541763,102.08192279140326,18.452683027542964,11.290183609776816,2.281368786865452,9.79007176412552,40,"Setbergsá",-22.5672918265297,65.0339602019869,-311,78,5,"Ósá. Nánast engin skráning frá 2013"
1910,"Prestbakkaá","Bakkaá Prestbakkaá Prestbakkaá Prestbakkaá","Vestfirðir",3,"1259 1745",291.64375561545376,109.57450408084887,4.514358348353819,91.31895226354445,291.64375561545376,152.66446258155057,4.950180084139153,141.20038958263504,40,"Prestbakkaá",-21.1954041449897,65.3142805504658,350,87,5,
2007,"Sandá","Sandá Sandá Allt svæðið","Norðurland eystra",5,"1219",938,490.9014525612597,6.0630347279803285,429.67741435816066,847,512.1171175501725,6.173166954282719,479.70290016689074,49,"Sandá",-15.5721037809815,66.2165074578297,850,596,10,
2052,"Saurasíki","Bakkaá og Gríshólsá Báðar árnar Bakkaá/Gríshólsá Gríshólsá og Bakkaá","Vesturland",2,"483 1499",1330,139.75533128778162,4.393293275542119,80.90642787989262,244.384646800481,102.86279509067583,4.460787182178044,86.55561732538852,24,"Grísholtsá og Bakká",-22.7733111898815,65.0173714760399,-321,89,5,"Saurasíki"
2063,"Selá","Selá Allt svæðið Selá Steingrímsfirði","Vestfirðir",3,"1059",190,64.99202117142737,3.877017322738896,48.27999645188194,119.69614717917807,47.31648891999495,3.659782247835815,38.852881651077034,42,"Selá í Steingrímsfirði",-21.7200413667371,65.7763582664214,350,68,5,
2080,"Selá","Selá Allt svæðið Selá í Vopnafirði","Austfirðir",6,"562",4609,2044.1833117024773,7.477809350872422,1768.3626675607845,2243.5,1651.4482273421374,7.3738666162147215,1593.7844370191458,49,"Selá í Vopnafirði",-14.8028438459259,65.8259886507293,1000,3502,15,
2090,"Selá","Selá Álftafirði Selá Selá","Austfirðir",6,"984",298.5,132.15613747199356,4.419449330075554,83.05053932980076,80.5,30.16841241598073,3.1669683639185866,23.735418022490848,15,,-14.50066,64.53473,,,,"Selá"
2097,"Selfljót","Selfljót og Gilsá Selfljót og Gilsá Austurland Selfljót og Gilsá","Austfirðir",6,"261",241.5,81.79688946911894,4.127257705924803,62.007646366010725,86,38.648491035740044,3.4723752959915535,32.21316745033578,37,"Selfljót og Gilsá",-13.9911360972489,65.5977827863711,1050,117,5,
2223,"Skjálfandafljót","Djúpá Skjálfandafljót Skjálfandafljót B-deild Skjálfandafljót B-deild Djúpá","Norðurland eystra",5,"539 1751",2340,952.2349367551614,6.487484911881879,656.8691999840107,1649,920.4776964247746,6.662715658199894,782.6735274901371,48,"Skjálfandafljót",-17.632359123295,65.9867698851378,788,1108,15,
2239,"Skógá","Skógá Skógá Skógá Rángárvallasýsla","Suðurland",7,"1479",3061,503.4470852253414,5.263399708467821,193.136985866976,505.9163746024887,261.6269699617383,5.260238917108272,192.52748391253485,21,,-19.56521,63.49429,,,,"Skógá"
2282,"Staðará","Staðará Allt Svæðið Staðará Steingrímsf","Vestfirðir",3,"181",417.8863432165319,165.67094296683615,4.935913977078162,139.20031030190154,417.8863432165319,214.58505475739543,5.244789468785378,189.57589938354116,43,,-21.78297,65.76625,,,,"Staðará"
2385,"Straumfjarðará","Laxá í Miklaholtshreppi Laxá Löngufjörum Laxá Staðarsveit Straumfjarðará Laxá Miklaholtshreppi Allt svæðið Straumfjarðará Allt svæðið","Vesturland",2,"779 1925 1927 2339",1790.5,777.115336002743,6.376612618781366,587.9327783218215,1423.4983494914272,1009.3766800137147,6.888385423034055,980.816534320714,50,"Straumfjarðará",-22.7011689472606,64.8088874883025,-454,860,10,
2424,"Svalbarðsá","Svalbarðsá Allt Svæðið Svalbarðsá Svalbarðsá Þistilsfirði","Norðurland eystra",5,"121 800",1148,440.7688042545258,5.936700795199097,378.68351187128013,1148,577.7671408471767,6.284293018979967,536.0851546028744,49,"Svalbarðsá",-15.6937917037814,66.2229660607333,850,679,10,
2599,"Úlfarsá (Korpa)","Úlfarsá Úlfarsá (Korpa) Allt svæðið Úlfarsá (Korpa) Vorveiði Úlfarsá","Reykjanes",1,"480",1418,554.7345931508207,6.242395620525877,514.0885981412961,797.1559067898561,550.9495064390215,6.254606143896599,520.4043699515406,49,"Úlfarsá (Korpa)",-21.74713512,64.16508178,-553,425,10,
2643,"Vatnsdalsá","Vatnsdalsá í Vatnsfirði Vatnsdalsá Vatnsdalsá","Vestfirðir",3,"1359",201.73769643918922,108.54008101022013,4.498447004821658,89.87744362486215,201.73769643918922,95.70584158748878,4.3502177101594,77.49533261005867,11,,-23.13391,65.58523,,,,"Vatnsdalsá"
2645,"Vatnsdalsá","Vatnsdalsá Vatnsdalsá Laxasvæði Vatnsdalsá Silungasvæði","Norðurland vestra",4,"81",3164,1625.700858687463,7.292385815215801,1469.0714524902621,2702.5265049415993,1479.1042934373165,7.238488049377427,1391.9877622622164,50,"Vatnsdalsá",-20.3836423710055,65.5884267956652,450,1890,15,
2646,"Vatnsholtsá","Vatnsholtsá Vatnsholtsá Vatnasvæði Lýsu","Vesturland",2,"531",624,152.9215181491568,4.4629802692632765,86.7456496344351,77.50126871568045,31.779743296439857,3.3323736954654826,28.004737588881678,38,"Vatnsholtsós og vötn",-23.2723847868492,64.8268408908204,-430,97,5,
2691,"Víðidalsá","Víðidalsá Steingrímsfirði Þverá-Húsadalsá-Víðidalsá Víðidalsá Upp að virkjun","Vestfirðir",3,"899 1771",567.1407251981467,210.88353048432253,4.971324280394137,144.21774570117327,567.1407251981467,386.39712871158406,5.93641180135231,378.57409047828605,38,"Víðidalsá í Steingrímsf.",-21.674848488264,65.6833869412989,340,214,5,
2791,"Þjórsá","Fossá í Þjórsárdal Kálfá Gnúpverjahreppi Kvíslaveitur Minnivallalækur Sandá Þjórárdal Þjórsá Þórisvatn Þverá Gnúpverjahreppi Þverá Þjórsárdal Fossá Þjórsárdal Fossá Kálfá Öll áin Sandá Þjórsárdal Sandá Þjórsá Egilsstaðir 2 NET Þjórsá Ferjunes NET Þjórsá Kálfholt NET Þjórsá Miðhús I og II Þjórsá Minna - Hof NET Þjórsá Sandbakki NET Þjórsá Sandhólaferja NET Þjórsá Selpartur Þjórsá Skálmholt Þjórsá Skeiðháholt 1 NET Þjórsá Skeiðháholt 3 NET Þjórsá Stöðufell þjórsá Urriðafoss Þjórsá Þjósártún NET Þverá Þjórsárdal Þverá Þjórsárdal","Suðurland",7,"303 489 802 900 979 1179 1181 1943 2241",20787.6997207711,2915.9326112466993,5.616794558525501,275.0064518118879,20787.6997207711,12470.846750610142,9.15406538320771,9452.791589948765,45,"Þjórsá",-20.74636,63.80059,,8062,15,
2799,"Þorskafjarðará","Þorskafjarðará Þorskafjarðará Þorskafjarðará","Vestfirðir",3,"495",160.5001344447432,53.695458605799956,3.6358135161373806,37.9326992113966,160.5001344447432,71.3581923750799,4.088221335661796,59.63372893116051,26,,-22.09426,65.60481,,,,"Þorskafjarðará"
